t, s	Tg, C	Tr, C	P, %
0,14	30,00	29,24	0,00
0,25	30,00	30,00	30,00
0,36	30,00	30,00	30,00
0,48	30,00	30,00	30,00
0,59	30,00	30,00	30,00
0,70	30,00	29,24	30,23
0,83	30,00	29,24	30,23
0,95	30,00	30,00	30,00
1,06	30,00	30,00	30,00
1,19	30,00	30,00	30,00
1,31	30,00	30,00	30,00
1,42	30,00	29,24	30,23
1,53	30,00	29,24	30,23
1,66	30,00	30,00	30,01
1,78	30,00	30,00	30,01
1,89	30,00	29,24	30,23
2,14	30,00	30,00	30,01
2,27	30,00	29,24	30,24
2,52	30,00	29,24	30,24
2,73	30,00	29,24	30,24
2,86	30,00	30,00	30,02
2,97	30,00	30,00	30,02
3,08	30,00	30,00	30,02
3,20	30,00	30,00	30,02
3,31	30,00	30,00	30,02
3,44	30,00	29,24	30,24
3,56	30,00	29,24	30,25
3,67	30,00	29,24	30,25
3,78	30,00	29,24	30,25
3,91	30,00	30,00	30,02
4,03	30,00	30,00	30,02
4,14	30,00	30,00	30,02
4,27	30,00	30,00	30,02
4,37	30,00	29,24	30,25
4,50	30,00	29,24	30,25
4,61	30,00	29,24	30,25
4,73	30,00	29,24	30,25
4,86	30,00	29,24	30,26
4,97	30,00	29,24	30,26
5,09	30,00	29,24	30,26
5,20	30,00	29,24	30,26
5,33	30,00	29,24	30,26
5,45	30,00	29,24	30,26
5,56	30,00	29,24	30,27
5,69	30,00	29,24	30,27
5,81	30,00	30,00	30,04
5,92	30,00	30,00	30,04
6,03	30,00	29,24	30,27
6,16	30,00	29,24	30,27
6,28	30,00	28,48	30,50
6,37	30,00	28,48	30,50
6,50	30,00	30,00	30,05
6,61	30,00	30,00	30,05
6,73	30,00	29,24	30,28
6,86	30,00	29,24	30,28
6,97	30,00	29,24	30,28
7,09	30,00	29,24	30,28
7,20	30,00	29,24	30,28
7,33	30,00	29,24	30,28
7,45	30,00	30,00	30,06
7,56	30,00	30,00	30,06
7,69	30,00	30,00	30,06
7,81	30,00	30,00	30,06
7,92	30,00	30,76	30,00
8,03	30,00	30,76	30,00
8,16	30,00	29,24	30,46
8,28	30,00	29,24	30,46
8,39	30,00	29,24	30,46
8,52	30,00	29,24	30,46
8,62	30,00	29,24	30,46
8,75	30,00	29,24	30,46
8,86	30,00	30,00	30,24
8,98	30,00	30,00	30,24
9,11	30,00	30,00	30,24
9,22	30,00	30,00	30,24
9,34	30,00	30,00	30,24
9,45	30,00	30,00	30,24
9,58	30,00	30,00	30,24
9,70	30,00	30,00	30,24
9,81	30,00	29,24	30,46
9,94	30,00	29,24	30,47
10,06	30,00	29,24	30,47
10,17	30,00	29,24	30,47
10,28	30,00	30,00	30,24
10,41	30,00	30,00	30,24
10,53	30,00	30,00	30,24
10,64	30,00	30,00	30,24
10,77	30,00	30,00	30,24
10,87	30,00	30,00	30,24
11,00	30,00	30,00	30,24
11,11	30,00	30,00	30,24
11,23	30,00	29,24	30,47
11,36	30,00	29,24	30,47
11,47	30,00	30,00	30,24
11,59	30,00	30,00	30,24
11,70	30,00	29,24	30,47
11,83	30,00	29,24	30,47
11,95	30,00	30,00	30,25
12,06	30,00	29,24	30,48
12,17	30,00	29,24	30,48
12,28	30,00	29,24	30,48
12,41	30,00	30,00	30,25
12,53	30,00	30,00	30,25
12,64	30,00	30,00	30,25
12,77	30,00	30,00	30,25
12,87	30,00	30,00	30,25
13,00	30,00	30,00	30,25
13,11	30,00	30,00	30,25
13,23	30,00	30,00	30,25
13,36	30,00	30,00	30,25
13,47	30,00	30,00	30,25
